,Price,Year,Month,Day,MA_7,MA_30,MA_90,Daily_Change,Pct_Change
2017-12-17,63.22999954223633,2017,12,6,63.352857317243306,63.18166732788086,60.38777787950304,0.0,0.0
2017-12-18,63.40999984741211,2017,12,0,63.16999980381557,63.204667282104495,60.47966677347819,0.18000030517578125,0.2846754807511065
2017-12-19,63.79999923706055,2017,12,1,63.235713958740234,63.24066721598307,60.563111199273,0.3899993896484375,0.6150439845243882
2017-12-20,64.55999755859375,2017,12,2,63.53857094900949,63.31866709391276,60.65344450208876,0.7599983215332031,1.1912199539521717
2017-12-21,64.9000015258789,2017,12,3,63.76571382795061,63.39633382161458,60.74277784559462,0.34000396728515625,0.526648048548295
2017-12-22,65.25,2017,12,4,64.05428532191685,63.46066716512044,60.83600006103516,0.34999847412109375,0.5392888534548446
2017-12-23,65.25,2017,12,5,64.3428568158831,63.5250005086263,60.92922227647569,0.0,0.0
2017-12-24,65.25,2017,12,6,64.63142830984933,63.57133382161458,60.99844449361165,0.0,0.0
2017-12-25,65.25,2017,12,0,64.89428547450474,63.61766713460286,61.07411117553711,0.0,0.0
2017-12-26,67.0199966430664,2017,12,1,65.35428510393415,63.72300033569336,61.17544445461697,1.7699966430664062,2.7126385334351077
2017-12-27,66.44000244140625,2017,12,2,65.62285723005023,63.80966707865397,61.27577781677246,-0.5799942016601562,-0.8654047011507293
2017-12-28,66.72000122070312,2017,12,3,65.88285718645368,63.91333376566569,61.3777778201633,0.279998779296875,0.4214310189765591
2017-12-29,66.5999984741211,2017,12,4,66.07571411132812,64.02966702779135,61.47844445970323,-0.12000274658203125,-0.17986022839698856
2017-12-30,66.5999984741211,2017,12,5,66.26857103620257,64.13066698710124,61.579111099243164,0.0,0.0
2017-12-31,66.5999984741211,2017,12,6,66.461427961077,64.23433354695638,61.69555553860135,0.0,0.0
2018-01-01,66.5999984741211,2018,1,0,66.65428488595145,64.33800010681152,61.81333329942491,0.0,0.0
2018-01-02,66.56999969482422,2018,1,1,66.58999960763114,64.44066670735677,61.93299997117784,-0.029998779296875,-0.045043213189455145
2018-01-03,67.83999633789062,2018,1,2,66.78999873570034,64.62033322652181,62.053444374932184,1.2699966430664062,1.9077612271119593
2018-01-04,68.06999969482422,2018,1,3,66.98285566057477,64.7939998626709,62.19177771674262,0.23000335693359375,0.33903798547985087
2018-01-05,67.62000274658203,2018,1,4,67.12857055664062,65.00733324686686,62.32511109246148,-0.4499969482421875,-0.6610796977517874
2018-01-06,67.62000274658203,2018,1,5,67.27428545270648,65.18799997965495,62.45844446818034,0.0,0.0
2018-01-07,67.62000274658203,2018,1,6,67.42000034877232,65.32866668701172,62.589888932969835,0.0,0.0
2018-01-08,67.77999877929688,2018,1,0,67.58857182094029,65.47466659545898,62.71400002373589,0.15999603271484375,0.23661050904486558
2018-01-09,68.81999969482422,2018,1,1,67.91000039236886,65.6553332010905,62.84600003560384,1.0400009155273438,1.5343773004684813
2018-01-10,69.19999694824219,2018,1,2,68.10428619384766,65.80566635131837,62.98988889058431,0.37999725341796875,0.5521610797777354
2018-01-11,69.26000213623047,2018,1,3,68.27428654261998,66.00299975077311,63.12422226799859,0.06000518798828125,0.08671270322910818
2018-01-12,69.87000274658203,2018,1,4,68.59571511404855,66.25066655476888,63.26533342997233,0.6100006103515625,0.880740097512156
2018-01-13,69.87000274658203,2018,1,5,68.91714368547711,66.46933326721191,63.40644459194607,0.0,0.0
2018-01-14,69.87000274658203,2018,1,6,69.2385722569057,66.69066670735677,63.54033351474338,0.0,0.0
2018-01-15,69.87000274658203,2018,1,0,69.53714425223214,66.91200014750163,63.67355575561523,0.0,0.0
2018-01-16,69.1500015258789,2018,1,1,69.58428737095424,67.10933354695638,63.79577797783746,-0.720001220703125,-1.0304868933733502
2018-01-17,69.37999725341797,2018,1,2,69.61000170026507,67.3083334604899,63.93077795240614,0.2299957275390625,0.33260408165427524
2018-01-18,69.30999755859375,2018,1,3,69.61714390345982,67.49200007120768,64.05922236972386,-0.06999969482421875,-0.10089319342077019
2018-01-19,68.61000061035156,2018,1,4,69.43714359828404,67.62700017293294,64.1798890431722,-0.6999969482421875,-1.0099509059287137
2018-01-20,68.61000061035156,2018,1,5,69.25714329310826,67.75066680908203,64.30055571662055,0.0,0.0
2018-01-21,68.61000061035156,2018,1,6,69.07714298793248,67.86266682942708,64.42544462415907,0.0,0.0
2018-01-22,69.02999877929688,2018,1,0,68.95714242117745,67.98866678873698,64.54433347913954,0.4199981689453125,0.6121529882072929
2018-01-23,69.95999908447266,2018,1,1,69.07285635811942,68.1456667582194,64.6723334842258,0.9300003051757812,1.34724079620685
2018-01-24,70.52999877929688,2018,1,2,69.23714229038784,68.3216667175293,64.79711125691732,0.5699996948242188,0.8147508608969289
2018-01-25,70.41999816894531,2018,1,3,69.39571380615234,68.43500010172527,64.90800014071995,-0.1100006103515625,-0.1559628700629645
2018-01-26,70.5199966430664,2018,1,4,69.66857038225446,68.57099990844726,65.02000011867948,0.09999847412109375,0.14200294905033495
2018-01-27,70.5199966430664,2018,1,5,69.94142695835659,68.69766642252604,65.132000096639,0.0,0.0
2018-01-28,70.5199966430664,2018,1,6,70.2142835344587,68.82833302815756,65.23888893127442,0.0,0.0
2018-01-29,69.45999908447266,2018,1,0,70.27571214948382,68.92366638183594,65.32877782185872,-1.05999755859375,-1.503116291906359
2018-01-30,69.0199966430664,2018,1,1,70.14142608642578,69.00433298746745,65.41466666327582,-0.44000244140625,-0.6334616285714967
2018-01-31,69.05000305175781,2018,1,2,69.92999812534877,69.085999806722,65.50833337571886,0.03000640869140625,0.04347494950860398
2018-02-01,69.08000183105469,2018,2,3,69.73857007707868,69.16966654459635,65.58622228834363,0.029998779296875,0.04344500792330397
2018-02-02,68.58000183105469,2018,2,4,69.461427961077,69.19433339436848,65.65855564541287,-0.5,-0.7237984753139193
2018-02-03,68.58000183105469,2018,2,5,69.18428584507534,69.21133346557617,65.7308890024821,0.0,0.0
2018-02-04,68.58000183105469,2018,2,6,68.90714372907367,69.24333343505859,65.77877794901529,0.0,0.0
